,회원번호,주민번호,이름,성별,나이,국적,생일,전화번호,주소,이메일,누적포인트
0,100000000,230413-1234567,남궁나다,남성,52,대한민국,9월 20일,010-8169-4325,광주광역시 동구 소태동,abcd1234@douzone.com,1
1,100000001,230413-1234567,제갈마바,남성,55,대한민국,10월 6일,010-2470-3819,세종특별자치시 세종시 금남면 봉암리,abcd1234@douzone.com,"100,000,000"
2,100000002,230413-1234567,김일,남성,61,대한민국,7월 30일,010-1482-7963,경기도 오산시 누읍동,abcd1234@douzone.com,"30,000"
3,100000003,230413-1234567,강이,여성,38,대한민국,12월 25일,010-5871-2490,울산광역시 북구 시례동,abcd1234@douzone.com,"30,000"
4,100000004,230413-1234567,장동덕,남성,40,대한민국,2월 7일,010-5106-3749,대구광역시 동구 신기동,abcd1234@douzone.com,"30,000"
5,100000005,230413-1234567,김오늘,남성,27,대한민국,6월 12일,010-9341-2785,충청남도 청양군 청양읍 군량리,abcd1234@douzone.com,"30,000"
6,100000006,230413-1234567,박정하,남성,70,대한민국,11월 7일,010-8219-0547,인천광역시 계양구 방축동,abcd1234@douzone.com,"30,000"
7,100000007,230413-1234567,김주지,남성,45,대한민국,12월 12일,010-1490-8726,세종특별자치시 세종시 전의면 원성리,abcd1234@douzone.com,"30,000"
8,100000008,230413-1234567,송미하,여성,22,대한민국,10월 28일,010-8549-7136,경상남도 함안군 함안면 파수리,abcd1234@douzone.com,"30,000"
9,100000009,230413-1234567,주수전,여성,64,대한민국,1월 16일,010-0397-8162,광주광역시 동구 동명동,abcd1234@douzone.com,"30,000"
10,100000010,230413-1234567,김광하,남성,24,대한민국,1월 12일,010-5219-3086,제주특별자치도 서귀포시 대포동,abcd1234@douzone.com,"30,000"
11,100000011,230413-1234567,오소서,여성,34,대한민국,9월 3일,010-6739-0842,인천광역시 서구 연희동,abcd1234@douzone.com,"30,000"
12,100000012,230413-1234567,김기하,남성,21,대한민국,5월 27일,010-7046-2318,부산광역시 금정구 남산동,abcd1234@douzone.com,"30,000"
13,100000013,230413-1234567,공가미,남성,20,대한민국,1월 12일,010-5246-3897,경상북도 울릉군 서면 태하리,abcd1234@douzone.com,"30,000"
14,100000014,230413-1234567,김보주,남성,26,대한민국,9월 20일,010-5407-6391,부산광역시 동구 수정동,abcd1234@douzone.com,"30,000"
15,100000015,230413-1234567,박찬슨,여성,59,대한민국,12월 4일,010-7985-4036,대전광역시 유성구 대정동,abcd1234@douzone.com,"30,000"
16,100000016,230413-1234567,박연수,남성,25,대한민국,6월 29일,010-2410-3856,충청남도 당진시 대호지면 도이리,abcd1234@douzone.com,"30,000"
17,100000017,230413-1234567,이창하,남성,63,대한민국,7월 12일,010-3915-2804,부산광역시 금정구 남산동,abcd1234@douzone.com,"10,000"
18,100000018,230413-1234567,김하영,여성,69,대한민국,10월 9일,010-0952-3486,세종특별자치시 세종시 연서면 기룡리,abcd1234@douzone.com,"10,000"
19,100000019,230413-1234567,김이원,남성,40,대한민국,7월 10일,010-7856-3491,전라남도 고흥군 풍양면 송정리,abcd1234@douzone.com,"10,000"
20,100000020,230413-1234567,박혀철,남성,68,대한민국,2월 16일,010-9315-7268,경상남도 김해시 구산동,abcd1234@douzone.com,"10,000"
